渠道代号,日均UV,平均注册率,平均搜索量,访问深度,平均停留时间,订单转化率,投放总时间,素材类型,广告类型,合作方式,广告尺寸,广告卖点
A302,197.65,0.0,0.0,1.3619,188.61,0.0,29,swf,不确定,roi,600*90,打折
A303,328.88,0.0,0.0,1.3489,193.5,0.0,2,swf,不确定,roi,600*90,打折
A304,300.51,0.0,1.0,1.3653,256.95,0.0,14,swf,不确定,roi,600*90,打折
A305,147.74,0.0,2.0,1.3417,348.43,0.0,12,swf,不确定,roi,600*90,打折
A306,67.15,185.99999999999997,442.00000000000006,3.2373,379.45,59.0,17,swf,不确定,roi,600*90,打折
A307,2.02,170.0,340.0,4.383,499.02,165.0,29,swf,不确定,roi,600*90,打折
A308,854.1,1.0,2.0,1.4034,305.66,1.0,27,swf,不确定,roi,600*90,打折
A309,406.28,1.0,2.0,2.3409,146.62,1.0,22,swf,不确定,roi,600*90,打折
A310,651.86,1.0,4.0,1.606,217.77,1.0,25,swf,不确定,roi,600*90,打折
A311,102.38,0.0,2.0,1.4001,109.16,0.0,4,swf,不确定,roi,600*90,打折
A312,104.74,0.0,2.9999999999999996,1.4206,111.76,0.0,22,swf,不确定,roi,600*90,打折
A313,97.54,1.0,5.0,1.9125,821.86,2.0,21,swf,不确定,roi,600*90,打折
A314,199.34,0.0,1.0,1.2386,70.4,0.0,21,swf,不确定,roi,600*90,打折
A315,144.78,0.0,0.0,2.16,167.53,0.0,18,swf,不确定,roi,600*90,打折
A316,39.87,0.0,2.9999999999999996,1.6008,183.48,4.0,13,swf,不确定,roi,600*90,打折
A317,188.98,0.0,1.0,1.4025,152.93,0.0,24,swf,不确定,roi,600*90,打折
A318,629.39,0.0,0.0,1.2791,123.42,0.0,22,swf,不确定,roi,600*90,打折
A319,344.39,0.0,0.0,1.2985,91.31,0.0,15,swf,不确定,roi,600*90,打折
A320,68.1,0.0,2.9999999999999996,1.2895,157.56,0.0,9,swf,不确定,roi,600*90,打折
A321,204.19,2.9999999999999996,5.0,1.4165,110.77,1.0,26,swf,不确定,roi,600*90,打折
A322,225.32,92.99999999999999,560.0,2.5971,341.32,67.0,17,swf,不确定,roi,600*90,打折
A323,20.8,77.0,218.0,2.6558,274.39,61.00000000000001,12,swf,不确定,roi,600*90,打折
A324,2.67,0.0,241.0,3.1375,244.69,9.0,20,swf,不确定,roi,600*90,打折
A325,0.89,0.0,6087.0,1.663,123.17,27.0,4,swf,不确定,roi,600*90,打折
A326,1468.39,0.0,28.999999999999996,1.6421,56.86,1.0,20,swf,不确定,roi,600*90,打折
A327,1.01,0.0,0.0,1.0291,501.0,0.0,5,swf,不确定,roi,600*90,打折
A328,901.18,0.0,28.0,1.6532,56.7,1.0,10,swf,不确定,roi,600*90,打折
A329,465.33,0.0,30.0,1.4862,91.0,1.0,24,swf,不确定,roi,600*90,打折
A330,602.09,0.0,27.0,1.4340000000000002,46.42,0.0,24,swf,不确定,roi,600*90,打折
A331,600.82,0.0,25.0,1.6191,75.3,1.0,18,swf,不确定,roi,600*90,打折
A332,399.67,1.0,13.0,1.596,71.23,2.9999999999999996,16,swf,不确定,roi,600*90,打折
A333,982.25,1.0,15.0,1.5626,60.05,2.0,9,swf,不确定,roi,600*90,打折
A334,1532.41,2.0,2.9999999999999996,1.6146,73.78,2.0,28,swf,不确定,roi,600*90,打折
A335,803.43,1.0,43.0,1.5386,61.64,2.9999999999999996,23,swf,不确定,roi,600*90,打折
A336,342.46,1.0,26.0,1.5926,61.44,2.0,3,swf,不确定,roi,600*90,打折
A337,10.89,51.00000000000001,536.0,1.9234,242.15,52.0,25,swf,不确定,roi,600*90,打折
A338,1201.08,5.0,65.0,1.5939,150.12,7.0,19,swf,不确定,roi,600*90,打折
A339,1370.23,0.0,28.999999999999996,1.5876,64.37,1.0,5,swf,不确定,roi,600*90,打折
A340,1.76,0.0,0.0,1.0056,155.5,0.0,8,swf,不确定,roi,600*90,打折
A341,1359.99,1.0,23.999999999999996,1.5742,75.32,1.0,13,swf,不确定,roi,600*90,打折
A342,1546.1,0.0,20.0,1.4602,131.42,1.0,30,swf,不确定,roi,600*90,打折
A343,1133.96,0.0,16.0,1.5077,59.06,1.0,16,swf,不确定,roi,600*90,打折
A344,667.23,0.0,16.0,1.5677,72.96,1.0,20,swf,不确定,roi,600*90,打折
A345,592.01,2.0,43.0,1.5847,68.78,4.0,9,swf,不确定,roi,600*90,打折
A346,1368.76,0.0,30.0,1.5879,65.17,2.0,24,swf,不确定,roi,600*90,打折
A347,1.53,0.0,0.0,1.0,154.05,0.0,26,swf,不确定,roi,600*90,打折
A348,1469.64,1.0,26.0,1.4454,101.62,1.0,12,swf,不确定,roi,600*90,打折
A349,1409.28,5.0,39.0,1.6130000000000002,87.3,4.0,13,swf,不确定,roi,600*90,打折
A35,0.17,0.0,0.0,4.7791,283.99,0.0,25,jpg,不确定,roi,600*90,打折
A350,1136.97,0.0,16.0,1.5033,67.41,1.0,11,swf,不确定,roi,600*90,打折
A351,337.6,1.0,14.0,1.5732,78.72,2.0,19,swf,不确定,roi,600*90,打折
A352,260.79,1.0,10.0,1.5386,96.98,1.0,21,swf,不确定,roi,600*90,打折
A353,619.46,2.9999999999999996,8.0,1.5275,67.36,1.0,17,swf,不确定,roi,600*90,满减
A354,396.46,1.0,5.999999999999999,1.5556,72.73,1.0,26,swf,不确定,roi,600*90,满减
A355,2942.91,2.0,52.0,1.3733,216.56,4.0,19,swf,不确定,roi,600*90,满减
A356,0.78,0.0,127.0,1.0253,166.0,0.0,12,swf,不确定,roi,600*90,满减
A357,675.88,0.0,23.999999999999996,1.652,55.56,1.0,25,swf,不确定,roi,600*90,打折
A358,346.1,0.0,26.0,1.4907,90.49,1.0,22,swf,不确定,roi,600*90,打折
A359,450.74,0.0,27.0,1.4395,46.92,0.0,22,swf,不确定,roi,600*90,打折
A360,446.52,0.0,26.0,1.624,71.31,1.0,10,swf,不确定,roi,600*90,打折
A361,836.44,0.0,18.0,1.4841,136.51,1.0,24,swf,不确定,roi,600*90,打折
A362,119.54,0.0,10.0,1.5585,71.16,1.0,26,swf,不确定,roi,600*90,打折
A363,578.19,0.0,11.999999999999998,1.4386,114.72,1.0,27,swf,不确定,roi,600*90,打折
A364,878.2,1.0,11.0,1.5427,60.89,1.0,22,swf,不确定,roi,600*90,打折
A365,1480.21,1.0,10.0,1.5308,64.93,2.0,11,swf,不确定,roi,600*90,打折
A366,1684.74,1.0,4.0,1.5536,74.94,1.0,19,swf,不确定,roi,600*90,打折
A367,89.43,1.0,10.0,1.3091,55.16,1.0,14,swf,不确定,roi,600*90,满减
A368,393.62,0.0,11.999999999999998,1.4425,142.97,0.0,29,swf,不确定,roi,600*90,满减
A369,1057.87,2.0,2.9999999999999996,1.6017,71.27,2.0,13,swf,不确定,roi,600*90,满减
A370,881.77,0.0,11.999999999999998,1.5971,59.54,1.0,20,swf,不确定,roi,600*90,满减
A371,996.42,1.0,10.0,1.6045,60.41,1.0,11,swf,不确定,roi,600*90,满减
A372,153.21,0.0,8.0,1.6127,51.95,1.0,20,swf,不确定,roi,600*90,满减
A373,258.32,1.0,7.0,1.574,57.9,1.0,20,swf,不确定,roi,600*90,满减
A374,1012.55,0.0,28.0,1.4911,47.19,2.0,10,swf,不确定,roi,600*90,满减
A375,489.81,0.0,41.0,1.6446,56.97,2.0,8,swf,不确定,roi,600*90,满减
A376,742.15,0.0,25.0,1.6568,59.39,1.0,11,swf,不确定,roi,600*90,打折
A377,0.75,0.0,0.0,1.0,154.05,0.0,20,swf,不确定,roi,600*90,打折
A378,224.31,0.0,25.0,1.5366,85.94,1.0,22,swf,不确定,roi,600*90,打折
A379,324.36,22.0,214.0,2.0138,164.84,23.0,9,swf,不确定,roi,600*90,打折
A380,384.98,5.999999999999999,51.00000000000001,1.6848,81.95,5.0,11,swf,不确定,roi,600*90,打折
A381,267.21,0.0,18.0,1.4446,157.97,2.0,15,swf,不确定,roi,600*90,打折
A382,295.91,0.0,14.0,1.4185,123.42,1.0,23,swf,不确定,roi,600*90,满减
A4,1189.39,4.0,27.0,1.37,478.29,5.0,1,swf,不确定,cpc,600*90,打折
A45,226.54,26.0,40.0,1.4799,289.12,11.999999999999998,12,swf,不确定,cpd,600*90,打折
A46,59.13,2.9999999999999996,33.0,1.2975,224.8,5.999999999999999,18,swf,不确定,cpd,600*90,打折
A47,55.88,2.0,40.0,1.3373,215.93,2.0,28,swf,不确定,cpd,600*90,打折
A48,9.1,0.0,73.0,2.1897,455.43,28.999999999999996,24,swf,不确定,cpd,600*90,打折
A5,1117.88,4.0,27.0,1.4559,440.44,7.0,28,swf,不确定,cpc,600*90,打折
A550,1.92,50.0,250.0,2.7,321.48,11.999999999999998,15,swf,不确定,cpc,600*90,满赠
A551,0.18,0.0,0.0,6.4211,388.22,265.0,16,swf,不确定,cpc,600*90,满赠
A552,0.49,125.0,0.0,6.9125,284.79,1409.0,11,swf,不确定,cpc,600*90,满赠
A59,0.65,0.0,972.0,2.2222,241.41,0.0,16,swf,不确定,cpd,600*90,打折
A6,1063.37,5.0,11.999999999999998,1.2821,476.98,5.0,29,swf,不确定,cpc,600*90,打折
A60,0.73,0.0,1519.0,2.2025,198.4,0.0,16,swf,不确定,cpd,600*90,打折
A61,1.44,0.0,1216.0,1.6486,352.47,17.0,3,swf,不确定,cpd,600*90,打折
A62,0.99,0.0,826.0000000000001,2.4545,397.95,0.0,26,swf,不确定,cpd,600*90,打折
A63,72.35,11.999999999999998,43.0,1.5359,269.37,5.999999999999999,26,swf,不确定,cpd,600*90,打折
A64,62.3,5.0,34.0,1.5254,266.89,4.0,24,swf,不确定,cpd,600*90,打折
A65,78.21,4.0,42.0,1.586,294.97,8.0,21,swf,不确定,cpd,600*90,打折
A66,51.75,28.0,69.0,1.8624,390.41,28.0,25,swf,不确定,cpd,600*90,打折
A67,21.94,27.0,36.0,1.372,269.4,2.0,3,swf,不确定,cpd,600*90,打折
A68,64.6,2.9999999999999996,44.0,1.4722,267.0,2.9999999999999996,24,swf,不确定,cpd,600*90,打折
A685,1218.94,18.0,47.99999999999999,1.6414,381.58,4.0,17,swf,不确定,roi,600*90,直降
A689,26.75,0.0,782.0,1.8645,513.57,2.0,11,swf,不确定,roi,600*90,直降
A69,117.45,9.0,37.0,1.8305,335.47,28.0,27,swf,不确定,cpd,600*90,打折
A690,69.35,1.0,761.0,1.8563,725.85,13.0,29,swf,不确定,roi,600*90,直降
A691,8.29,11.0,997.0,1.9398,532.84,14.0,17,swf,不确定,roi,600*90,直降
A692,72.51,5.999999999999999,1078.0,1.7832,690.57,5.0,11,swf,不确定,roi,600*90,直降
A693,20.33,31.0,1009.0,1.8688,768.77,26.0,23,swf,不确定,roi,600*90,直降
A694,1136.77,45.0,1007.0,2.7114,552.17,50.0,6,swf,不确定,cpd,600*90,直降
A695,0.66,0.0,7802.0,2.4835,243.51,0.0,30,swf,不确定,roi,600*90,直降
A696,0.96,0.0,9394.0,2.5909,311.92,0.0,11,swf,不确定,roi,600*90,直降
A697,29.9,0.0,812.0,1.6649,673.9,1.0,30,swf,不确定,roi,600*90,直降
A698,88.41,2.9999999999999996,758.0000000000001,1.7988,616.85,9.0,25,swf,不确定,roi,600*90,直降
A699,30.03,9.0,872.0,1.6901,572.08,1.0,27,swf,不确定,roi,600*90,直降
A7,3.11,52.0,4031.0,2.7881,313.81,54.0,13,swf,不确定,cpc,600*90,打折
A70,109.16,11.999999999999998,30.0,1.9749,360.02,7.0,13,swf,不确定,cpd,600*90,打折
A700,111.35,10.0,852.0,2.0015,526.58,8.0,30,swf,不确定,roi,600*90,直降
A701,77.85,8.0,544.0,1.7753,530.35,26.0,28,swf,不确定,roi,600*90,直降
A702,42.9,4.0,779.0,1.7904,554.1,7.0,13,swf,不确定,roi,600*90,直降
A703,1.64,0.0,1908.0,4.458,1123.75,218.0,14,swf,不确定,roi,600*90,直降
A704,1.63,0.0,6049.0,3.4585,451.3,88.0,14,swf,不确定,roi,600*90,直降
A705,2.71,0.0,6042.0,3.1484,502.25,53.0,17,swf,不确定,roi,600*90,直降
A706,0.94,91.0,6909.0,2.6545,331.6,0.0,9,swf,不确定,roi,600*90,直降
A707,1.71,0.0,6405.999999999999,2.6544,308.71,56.0,21,swf,不确定,roi,600*90,直降
A708,1.79,125.0,5750.0,3.9458,402.23,133.0,26,swf,不确定,roi,600*90,直降
A709,82.15,7.0,270.00000000000006,1.1681,492.83,2.0,14,swf,不确定,roi,600*90,直降
A71,36.84,16.0,40.0,1.7388,349.98,5.999999999999999,17,swf,不确定,cpd,600*90,打折
A710,236.71,5.0,252.0,1.1278,422.25,2.9999999999999996,29,swf,不确定,roi,600*90,直降
A711,80.21,7.0,248.0,1.2758,372.19,4.0,26,swf,不确定,roi,600*90,直降
A712,115.09,16.0,512.0,1.8003,317.08,10.0,15,swf,不确定,roi,600*90,直降
A713,405.54,2.9999999999999996,261.0,1.1573,507.82,2.0,16,swf,不确定,roi,600*90,直降
A714,368.15,1.0,289.0,1.1453,444.78,5.0,16,swf,不确定,roi,600*90,直降
A715,98.09,0.0,322.0,1.1556,491.25,2.9999999999999996,2,swf,不确定,roi,600*90,直降
A72,14.8,80.0,46.0,1.9072,447.55,19.0,15,swf,不确定,cpd,600*90,打折
A722,0.23,0.0,0.0,4.3333,329.51,725.0,5,swf,不确定,cpd,600*90,直降
A723,0.11,0.0,222.0,9.4333,804.01,2165.0,5,swf,不确定,cpd,600*90,直降
A724,4.75,33.0,3719.0,3.995,389.79,80.0,28,swf,不确定,cpd,600*90,直降
A73,22.65,9.0,13.0,1.5255,293.41,8.0,16,swf,不确定,cpd,600*90,打折
A74,61.58,5.999999999999999,41.0,1.5803,324.65,5.0,16,swf,不确定,cpd,600*90,打折
A75,6.61,88.0,57.99999999999999,2.1974,482.07,25.0,25,swf,不确定,cpd,600*90,打折
A765,31.75,0.0,0.0,2.0019,250.23,0.0,8,swf,不确定,roi,600*90,直降
A766,122.69,0.0,0.0,2.0321,184.13,0.0,29,swf,不确定,roi,600*90,直降
A767,1680.85,74.0,876.0,2.6838,356.09,112.99999999999999,15,swf,不确定,cpd,600*90,直降
A768,4.62,63.0,8701.0,4.1252,797.91,124.0,2,swf,不确定,roi,600*90,直降
A769,48.84,0.0,0.0,2.0648,282.41,0.0,27,swf,不确定,roi,600*90,直降
A770,392.66,0.0,0.0,2.1555,258.4,0.0,9,swf,不确定,roi,600*90,直降
A771,451.06,0.0,0.0,2.0421,188.43,0.0,9,swf,不确定,roi,600*90,直降
A772,241.59,0.0,0.0,2.2202,253.5,0.0,14,swf,不确定,roi,600*90,直降
A773,525.75,0.0,0.0,2.021,252.09,0.0,15,swf,不确定,roi,600*90,直降
A774,197.59,0.0,0.0,2.0991,297.26,0.0,4,swf,不确定,roi,600*90,直降
A775,876.45,0.0,0.0,2.0228,326.46,0.0,16,swf,不确定,roi,600*90,直降
A776,716.67,0.0,0.0,2.2846,236.66,0.0,29,swf,不确定,roi,600*90,直降
A777,192.63,0.0,0.0,2.1933,286.13,0.0,30,swf,不确定,roi,600*90,直降
A778,323.36,0.0,7.0,2.1823,178.28,0.0,16,swf,不确定,roi,600*90,直降
A779,803.04,0.0,17.0,2.4799,149.81,0.0,30,swf,不确定,roi,600*90,直降
A780,559.37,0.0,7.0,2.123,94.46,0.0,30,swf,不确定,roi,600*90,直降
A781,64.76,0.0,0.0,1.9951,256.57,0.0,12,swf,不确定,roi,600*90,直降
A782,116.99,0.0,0.0,2.0305,183.96,0.0,24,swf,不确定,roi,600*90,直降
A783,645.58,0.0,0.0,2.1543,231.31,1.0,7,swf,不确定,roi,600*90,直降
A784,386.23,0.0,0.0,2.0153,308.77,0.0,15,swf,不确定,roi,600*90,直降
A785,283.03,1.0,0.0,2.1235,328.11,1.0,24,swf,不确定,roi,600*90,直降
A786,935.84,0.0,0.0,2.0259,314.37,0.0,27,swf,不确定,roi,600*90,直降
A787,733.91,0.0,1.0,2.1692,222.04,0.0,21,swf,不确定,roi,600*90,直降
A788,154.99,1.0,0.0,2.0652,246.43,2.0,20,swf,不确定,roi,600*90,直降
A789,573.99,0.0,16.0,2.4101,253.02,0.0,4,swf,不确定,roi,600*90,直降
A790,568.75,0.0,18.0,2.4239,112.6,0.0,22,swf,不确定,roi,600*90,直降
A791,1434.15,0.0,27.0,1.406,218.51,0.0,26,swf,不确定,roi,600*90,直降
A792,1166.81,1.0,10.0,1.7227,129.32,0.0,12,swf,不确定,roi,600*90,直降
A793,11.85,69.99999999999999,6776.0,3.0425,486.8,69.99999999999999,13,swf,不确定,roi,600*90,直降
A794,2.46,188.0,875.0,3.975,645.35,184.0,14,swf,不确定,roi,600*90,直降
A795,1.06,245.0,4663.0,3.9755,621.63,157.0,14,swf,不确定,cpd,600*90,直降
A796,273.45,0.0,0.0,2.0382,187.23,0.0,6,swf,不确定,roi,600*90,直降
A797,468.49,0.0,0.0,2.1511,229.68,0.0,30,swf,不确定,roi,600*90,直降
A798,151.78,0.0,0.0,2.1131,327.71,1.0,20,swf,不确定,roi,600*90,直降
A799,430.4,0.0,0.0,1.9811,332.93,1.0,9,swf,不确定,roi,600*90,直降
A8,0.77,115.0,4138.0,2.2299,191.35,0.0,2,swf,不确定,cpc,600*90,打折
A800,881.65,0.0,0.0,2.122,232.79,0.0,13,swf,不确定,roi,600*90,直降
A801,526.27,0.0,0.0,2.1132,300.4,0.0,10,swf,不确定,roi,600*90,直降
A802,369.87,0.0,11.999999999999998,2.1813,196.3,2.0,15,swf,不确定,roi,600*90,直降
A803,91.08,0.0,0.0,2.1698,242.23,0.0,3,swf,不确定,roi,600*90,直降
A804,124.99,0.0,0.0,2.0332,185.72,0.0,19,swf,不确定,roi,600*90,直降
A805,123.17,0.0,0.0,2.0698,266.7,0.0,11,swf,不确定,roi,600*90,直降
A806,466.87,0.0,14.0,2.0575,213.56,0.0,1,swf,不确定,roi,600*90,直降
A807,497.7,0.0,17.0,2.4297,89.53,0.0,23,swf,不确定,roi,600*90,直降
A808,533.73,0.0,4.0,2.0839,85.83,0.0,2,swf,不确定,roi,600*90,直降
A809,580.53,0.0,0.0,2.1909,241.37,0.0,4,swf,不确定,roi,600*90,直降
A810,714.43,0.0,5.999999999999999,1.9956,211.52,0.0,26,swf,不确定,roi,600*90,直降
A811,317.57,0.0,0.0,2.0904,299.88,0.0,26,swf,不确定,roi,600*90,直降
A812,558.48,0.0,10.0,2.5033,172.26,0.0,28,swf,不确定,roi,600*90,直降
A813,2200.39,0.0,26.0,1.5730000000000002,218.53,0.0,24,swf,不确定,roi,600*90,直降
A814,604.84,0.0,4.0,2.2709,122.73,0.0,25,swf,不确定,roi,600*90,秒杀
A815,715.77,0.0,0.0,2.0563,253.99,0.0,28,swf,不确定,roi,600*90,秒杀
A816,2167.97,0.0,0.0,2.0895,376.69,0.0,24,swf,不确定,roi,600*90,秒杀
A817,394.3,0.0,0.0,2.6812,344.62,0.0,26,swf,不确定,roi,600*90,秒杀
A818,609.12,1.0,5.0,2.9256,335.58,1.0,28,swf,不确定,roi,600*90,秒杀
A819,386.16,0.0,2.9999999999999996,2.5766,159.34,0.0,21,swf,不确定,roi,600*90,秒杀
A820,67.24,0.0,2.9999999999999996,2.1527,258.95,0.0,10,swf,不确定,roi,600*90,秒杀
A821,121.94,0.0,1.0,2.0297,184.99,0.0,16,swf,不确定,roi,600*90,秒杀
A822,46.92,0.0,0.0,1.9105,197.56,0.0,15,swf,不确定,roi,600*90,秒杀
A823,133.72,0.0,0.0,1.9878,291.94,0.0,23,swf,不确定,roi,600*90,秒杀
A824,339.39,0.0,10.0,1.9986,200.04,0.0,13,swf,不确定,roi,600*90,秒杀
A828,19.64,0.0,753.0000000000001,1.8636,156.3,19.0,22,jpg,不确定,roi,600*90,秒杀
A829,1.12,0.0,1278.0,1.5789,129.15,0.0,28,jpg,不确定,roi,600*90,秒杀
A830,14.04,0.0,200.0,1.7465,124.91,2.0,30,jpg,不确定,roi,600*90,满赠
A831,25.48,0.0,75.0,2.099,142.16,4.0,27,jpg,不确定,roi,600*90,满赠
A832,16.34,0.0,189.0,1.8854,157.41,1.0,14,jpg,不确定,roi,600*90,满赠
A833,3.96,0.0,19.0,1.5364,125.04,11.999999999999998,21,jpg,不确定,roi,600*90,满赠
A834,0.76,0.0,10370.0,1.3086,236.06,0.0,14,jpg,不确定,roi,600*90,满赠
A835,1.43,0.0,1341.0,6.067,630.79,666.0000000000001,21,jpg,不确定,roi,600*90,满赠
A836,26.64,0.0,41.0,2.8518,282.28,0.0,22,jpg,不确定,roi,600*90,满赠
A837,2.59,0.0,147.0,2.2198,144.09,28.0,28,jpg,不确定,roi,600*90,满赠
A838,14.87,5.0,20.0,1.9985,196.04,26.0,20,jpg,不确定,roi,600*90,满赠
A839,49.73,0.0,8.0,2.3221,42.84,0.0,13,jpg,不确定,roi,600*90,满赠
A840,176.58,0.0,17.0,2.3496,38.59,0.0,28,jpg,不确定,roi,600*90,满赠
A841,416.84,0.0,18.0,2.3554,38.78,1.0,19,jpg,不确定,roi,600*90,满赠
A842,408.11,0.0,13.0,2.2521,38.21,0.0,20,jpg,不确定,roi,600*90,满赠
A843,6.06,0.0,0.0,2.275,201.35,11.999999999999998,12,jpg,不确定,roi,600*90,满赠
A862,0.79,0.0,0.0,2.8354,66.37,0.0,14,jpg,不确定,roi,600*90,秒杀
A863,0.72,0.0,4805.0,1.6883,467.18,0.0,11,jpg,不确定,roi,600*90,秒杀
A864,0.76,0.0,117.0,10.1211,1005.39,909.0,27,jpg,不确定,roi,600*90,秒杀
A865,1741.81,1.0,22.0,2.4836,98.39,0.0,18,jpg,不确定,roi,600*90,秒杀
A866,6098.97,2.9999999999999996,77.0,2.421,140.04,9.0,4,jpg,不确定,roi,600*90,秒杀
A867,172.62,2.0,32.0,2.8346,303.85,2.0,5,jpg,不确定,roi,600*90,秒杀
A868,10.42,0.0,28.0,2.7075,277.46,0.0,20,jpg,不确定,roi,600*90,秒杀
A869,20.94,0.0,42.0,2.6971,275.51,1.0,10,jpg,不确定,roi,600*90,秒杀
A870,848.12,2.0,57.0,3.0121,308.63,5.0,15,jpg,不确定,roi,600*90,秒杀
A871,65.09,22.0,461.0,3.6031,310.8,40.0,30,jpg,不确定,roi,600*90,秒杀
A872,52.41,2.0,15.0,2.8241,250.8,0.0,6,jpg,不确定,roi,600*90,秒杀
A873,417.27,0.0,66.0,2.7978,281.09,4.0,18,jpg,不确定,roi,600*90,秒杀
A874,386.96,11.999999999999998,193.0,3.1531,250.27,49.0,10,jpg,不确定,roi,600*90,秒杀
A875,8.16,47.0,198.00000000000003,1.8884,232.34,20.0,29,jpg,不确定,roi,600*90,秒杀
A876,1008.22,2.9999999999999996,47.0,2.2518,71.82,9.0,30,jpg,不确定,roi,600*90,秒杀
A877,87.49,0.0,16.0,2.2137,44.81,1.0,11,jpg,不确定,roi,600*90,秒杀
A878,40.21,0.0,27.0,2.184,39.11,0.0,6,jpg,不确定,roi,600*90,秒杀
A879,152.22,1.0,28.999999999999996,2.2023,93.46,0.0,6,jpg,不确定,roi,600*90,秒杀
A880,91.79,53.0,240.0,3.7476,541.15,142.0,22,jpg,不确定,roi,600*90,秒杀
A881,1488.17,14.0,71.0,2.1687,145.95,28.999999999999996,3,jpg,不确定,roi,480*360,秒杀
A9,4.97,57.0,2702.0,5.5553,465.83,244.00000000000003,24,swf,不确定,cpc,600*90,打折
A97,0.61,95.99999999999999,961.9999999999999,5.9712,917.39,351.0,28,swf,不确定,cpm,600*90,打折
A98,1.2,0.0,4480.0,2.0,219.0,0.0,15,swf,不确定,cpm,600*90,打折
A99,16516.13,9.0,59.0,1.7708,531.53,19.0,10,swf,不确定,cpm,600*90,打折
A108,162.88,0.0,0.0,1.0077,22.92,0.0,6,jpg,横幅,cpm,600*90,直降
A109,9.99,0.0,10.0,1.009,18.77,0.0,10,jpg,横幅,cpm,600*90,直降
A110,502.84,1.0,0.0,1.0149,38.92,0.0,19,jpg,横幅,cpm,600*90,直降
A111,168.31,0.0,2.0,1.023,77.98,1.0,2,jpg,横幅,cpm,600*90,直降
A112,32.76,0.0,2.9999999999999996,1.0387,96.85,0.0,30,jpg,横幅,cpm,600*90,直降
A113,139.99,2.9999999999999996,1.0,1.0344,114.88,1.0,16,jpg,横幅,cpm,600*90,直降
A116,4.78,50.0,4908.0,3.7002,489.25,80.0,9,jpg,横幅,cpc,600*90,直降
A117,5.1,30.0,5342.0,4.631,451.28,135.0,9,jpg,横幅,cpc,600*90,直降
A156,306.37,0.0,33.0,1.3893,241.02,1.0,9,jpg,横幅,cpc,600*90,直降
A157,152.72,1.0,28.0,1.8394,176.11,1.0,30,jpg,横幅,cpc,600*90,直降
A158,88.86,0.0,31.0,1.9085,98.14,0.0,7,jpg,横幅,cpc,600*90,直降
A159,287.93,0.0,27.0,1.8996,114.92,0.0,2,jpg,横幅,cpc,600*90,直降
A160,565.31,0.0,22.0,1.7711,173.16,0.0,30,jpg,横幅,cpc,600*90,直降
A161,568.8,1.0,17.0,1.6585,134.03,0.0,14,jpg,横幅,cpc,600*90,直降
A162,178.9,0.0,17.0,1.8327,107.28,0.0,5,jpg,横幅,cpc,600*90,直降
A163,0.74,0.0,132.0,1.9211,426.0,0.0,8,jpg,横幅,cpc,600*90,直降
A164,1322.14,14.0,50.0,1.3908,274.15,4.0,20,jpg,横幅,cpc,600*90,直降
A165,87.48,2.0,59.0,1.3419,258.99,4.0,5,jpg,横幅,cpc,600*90,直降
A166,543.67,9.0,46.0,1.2429,316.72,2.0,12,jpg,横幅,cpc,600*90,直降
A167,39.18,0.0,55.0,1.2206,259.97,2.0,18,jpg,横幅,cpc,600*90,直降
A168,1.25,0.0,0.0,2.1061,318.56,0.0,13,jpg,横幅,cpc,600*90,直降
A177,55.07,14.0,46.0,1.9271,383.78,14.0,16,jpg,横幅,cpc,600*90,直降
A183,0.06,0.0,0.0,1.1656,409.5,0.0,10,jpg,横幅,cpc,600*90,直降
A184,579.0,0.0,11.999999999999998,1.8318,80.3,0.0,3,jpg,横幅,cpc,600*90,直降
A185,398.8,0.0,2.0,1.8756,99.27,0.0,4,jpg,横幅,cpc,600*90,直降
A186,498.85,0.0,28.999999999999996,1.8693,124.97,0.0,19,jpg,横幅,cpc,600*90,直降
A187,477.69,0.0,25.0,1.7601,157.33,0.0,26,jpg,横幅,cpc,600*90,直降
A188,1281.1,0.0,26.0,1.8829,115.39,0.0,10,jpg,横幅,cpc,600*90,直降
A189,359.93,0.0,18.0,1.7518,176.82,0.0,5,jpg,横幅,cpc,600*90,直降
A191,167.44,66.0,1574.0000000000002,4.2488,404.57,86.0,18,jpg,横幅,cpc,600*90,直降
A192,173.43,53.0,849.0,4.2528,365.57,51.00000000000001,7,jpg,横幅,cpc,600*90,直降
A193,63.48,61.00000000000001,1439.0,3.6239,331.89,59.0,29,jpg,横幅,cpc,600*90,直降
A194,518.78,41.0,562.0,3.0421,258.29,32.0,12,jpg,横幅,cpc,600*90,直降
A195,391.13,0.0,11.0,1.8291,77.0,0.0,19,jpg,横幅,cpc,600*90,直降
A196,266.4,0.0,2.9999999999999996,1.8802,96.95,0.0,5,jpg,横幅,cpc,600*90,直降
A197,225.01,1.0,19.0,1.8384,95.36,0.0,10,jpg,横幅,cpc,600*90,直降
A198,87.42,71.0,231.0,2.3304,201.35,59.0,5,jpg,横幅,cpc,600*90,直降
A199,713.75,0.0,11.999999999999998,1.8215,80.46,0.0,17,jpg,横幅,cpc,600*90,直降
A200,638.76,0.0,8.0,1.5621,178.65,0.0,15,jpg,横幅,cpc,600*90,直降
A201,623.6,0.0,4.0,1.8561,98.93,0.0,11,jpg,横幅,cpc,600*90,直降
